FechaObservacion,ValorObservado,NombreEstacion,Latitud,Longitud
8/22/2016 12:00,26.8,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
6/28/2017 12:00,17.1,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
12/29/2017 12:00,19.51231,ESPERANZA LA  - AUT,4.45,-75.25
8/11/2016 12:00,28.9,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
1/17/2019 12:00,18.8,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
9/21/2017 12:00,28.09169,ESPERANZA LA  - AUT,4.45,-75.25
1/21/2016 12:00,27.6,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
6/10/2017 12:00,26.3,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
1/18/2019 12:00,24.46989,ESPERANZA LA  - AUT,4.45,-75.25
12/18/2016 12:00,17.7,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
1/10/2017 12:00,20.1,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
12/28/2018 12:00,26.07043,ESPERANZA LA  - AUT,4.45,-75.25
7/15/2017 12:00,20.8,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
2/26/2018 12:00,24.79328,ESPERANZA LA  - AUT,4.45,-75.25
6/9/2019 12:00,15.1,EL SILENCIO - AUT,4.600222222,-75.336
8/15/2016 12:00,27.4,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
8/15/2018 12:00,24.3,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
4/2/2015 12:00,24,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
4/3/2019 12:00,15.4,EL SILENCIO - AUT,4.600222222,-75.336
11/15/2018 12:00,26.2,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
7/25/2019 12:00,22.77306,ESPERANZA LA  - AUT,4.45,-75.25
1/30/2016 12:00,26.8,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
6/4/2016 12:00,26.2,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
5/17/2017 12:00,22.2,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
1/1/2019 12:00,27.9,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
11/7/2015 12:00,21.3,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
8/27/2015 12:00,21.3,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
3/4/2017 12:00,28.2,ESPERANZA LA  - AUT,4.45,-75.25
1/19/2018 12:00,20.9,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
11/10/2018 12:00,23.5,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
3/25/2015 12:00,22.1,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
11/22/2018 12:00,24.7,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
4/2/2019 12:00,12.7,EL SILENCIO - AUT,4.600222222,-75.336
8/3/2018 12:00,24.68375,ESPERANZA LA  - AUT,4.45,-75.25
6/7/2016 12:00,24.1,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
4/1/2015 12:00,22.2,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
9/9/2015 12:00,28.8,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
2/15/2015 12:00,18.8,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
7/19/2018 12:00,27.1,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
3/11/2015 12:00,28.6,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
7/12/2015 12:00,24,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
8/28/2017 12:00,21.2,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
4/24/2018 12:00,20.1,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
6/1/2018 12:00,21.2,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
